"first_name","last_name","customer_id"
"Peter","Menard",341
"Peter","Menard",341
"Peter","Menard",341
"Peter","Menard",341
"Peter","Menard",341
"Peter","Menard",341
"Harold","Martino",342
"Harold","Martino",342
"Harold","Martino",342
"Douglas","Graf",343
"Douglas","Graf",343
"Douglas","Graf",343
"Douglas","Graf",343
"Douglas","Graf",343
"Douglas","Graf",343
"Douglas","Graf",343
"Henry","Billingsley",344
"Henry","Billingsley",344
"Henry","Billingsley",344
"Carl","Artis",345
"Carl","Artis",345
"Carl","Artis",345
"Carl","Artis",345
"Arthur","Simpkins",346
"Arthur","Simpkins",346
"Arthur","Simpkins",346
"Ryan","Salisbury",347
"Ryan","Salisbury",347
"Ryan","Salisbury",347
"Ryan","Salisbury",347
"Ryan","Salisbury",347
"Roger","Quintanilla",348
"Roger","Quintanilla",348
"Roger","Quintanilla",348
"Joe","Gilliland",349
"Joe","Gilliland",349
"Joe","Gilliland",349
"Joe","Gilliland",349
"Juan","Fraley",350
"Juan","Fraley",350
"Juan","Fraley",350
"Juan","Fraley",350
"Jack","Foust",351
"Jack","Foust",351
"Jack","Foust",351
"Albert","Crouse",352
"Albert","Crouse",352
"Albert","Crouse",352
"Albert","Crouse",352
"Albert","Crouse",352
"Jonathan","Scarborough",353
"Jonathan","Scarborough",353
"Jonathan","Scarborough",353
"Justin","Ngo",354
"Justin","Ngo",354
"Justin","Ngo",354
"Justin","Ngo",354
"Terry","Grissom",355
"Terry","Grissom",355
"Gerald","Fultz",356
"Gerald","Fultz",356
"Gerald","Fultz",356
"Keith","Rico",357
"Keith","Rico",357
"Keith","Rico",357
"Keith","Rico",357
"Samuel","Marlow",358
"Samuel","Marlow",358
"Samuel","Marlow",358
"Samuel","Marlow",358
"Samuel","Marlow",358
"Samuel","Marlow",358
"Willie","Markham",359
"Willie","Markham",359
"Willie","Markham",359
"Willie","Markham",359
"Ralph","Madrigal",360
"Ralph","Madrigal",360
"Ralph","Madrigal",360
"Ralph","Madrigal",360
"Lawrence","Lawton",361
"Lawrence","Lawton",361
"Lawrence","Lawton",361
"Lawrence","Lawton",361
"Nicholas","Barfield",362
"Nicholas","Barfield",362
"Nicholas","Barfield",362
"Nicholas","Barfield",362
"Nicholas","Barfield",362
"Roy","Whiting",363
"Roy","Whiting",363
"Roy","Whiting",363
"Roy","Whiting",363
"Roy","Whiting",363
"Benjamin","Varney",364
